Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,25.0,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,8,3,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,51,12,2,0,0,2,10,0,0,0,0,50,2,2,1,1,0,1,100.0,0,3,1,2,1,3,0,0,2,2.09,2,0,0,0,0,0,0,0.00,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,25.0,2000,2,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.00,0.02,0,4,8,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,29,42,69.0,414,130,0,0.0,0.0,0.0,1,1,0,0,4,35,7,0,0,0,2,7,0,0,0,0,29,3,3,2,1,0,3,100.0,0,1,0,1,0,3,3,0,1,0.87,1,0,0,0,0,0,0,0.00,59,1,17,12,30,0,59,4,1,25.0,2,50.0,30,95,41,0,3,0,2,1,33,8,1,0,0,0,1,0,2,0,3,0,0,0,5,2,1,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,22.0,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.10,3,2,3,1,0,0.0,1.38,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,21,8,0,0,0,1,8,0,0,0,0,17,3,2,2,1,0,3,100.0,0,1,0,1,1,4,0,0,0,0.00,0,0,0,0,0,0,0,0.00,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,21.0,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0.00,0.06,3,4,1,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,45,1,1,0,0,0,0,0,0,0,0,36,4,2,4,0,0,3,66.7,1,2,1,1,1,5,3,0,1,1.02,1,0,0,0,0,0,0,0.00,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19.0,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,0,0.00,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,37.0,1987,15,11,988,11.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,0.00,0.03,4,22,3,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,438,505,86.7,7952,2404,0,0.1,0.3,-0.1,2,28,0,0,22,461,42,20,0,0,0,3,0,0,0,0,438,17,11,15,2,0,16,62.5,6,26,18,8,13,30,57,1,6,0.55,5,1,0,0,0,0,0,0.00,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,2,0,0,16,6,0,0,13,11,0,0,0,42,19,10,65.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,25.0,1999,31,31,2752,30.6,6,1,7,3,3,4,4,0,6.3,3.1,3.1,6.2,0.13,0.31,102,199,109,32,7,21.9,1.05,0.23,0.09,0.43,22.3,0,3,4,6.3,3.1,0.10,-0.3,-0.1,1322,1609,82.2,20674,5730,1,3.1,3.5,-2.1,35,159,36,2,199,1497,102,39,23,13,40,15,8,4,2,0,1322,47,31,12,20,15,47,29.8,33,22,1,21,25,72,27,2,88,2.88,74,2,5,1,3,3,5,0.16,1920,35,282,1116,566,47,1916,119,56,47.1,61,51.3,1129,7242,4119,102,83,17,53,51,1392,109,4,0,0,47,31,3,40,25,31,0,0,0,186,13,20,39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,26.0,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.00,0.00,6,52,5,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,471,521,90.4,8299,2620,0,0.0,0.2,0.0,0,41,1,0,52,493,28,21,0,7,2,5,0,0,0,0,471,21,14,12,6,3,22,59.1,9,11,5,6,15,36,56,1,8,0.84,8,0,0,0,0,0,0,0.00,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31.0,1993,24,17,1387,15.4,4,2,6,4,0,0,2,0,3.4,3.4,1.8,5.2,0.39,0.34,34,42,99,28,10,35.7,1.82,0.65,0.14,0.40,17.4,1,0,0,3.4,3.4,0.14,+0.6,+0.6,494,669,73.8,7766,2687,2,1.8,1.7,+0.2,19,19,21,7,42,546,118,12,0,2,51,106,0,0,0,0,494,43,25,18,14,11,43,65.1,15,20,6,14,20,63,37,0,44,2.86,32,3,4,4,0,1,3,0.19,875,51,226,344,312,48,875,28,12,42.9,15,53.6,386,1838,972,34,15,8,32,14,475,99,2,0,0,27,14,5,51,20,25,0,0,0,71,22,14,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25.0,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0.44,0.09,6,9,26,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,118,136,86.8,1766,368,1,0.2,0.2,+0.8,2,4,4,2,9,103,33,1,0,0,7,32,0,0,0,0,118,3,2,2,0,1,1,100.0,0,2,0,2,2,5,0,0,6,2.65,5,0,0,0,1,0,1,0.44,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abel,es ESP,DF,Osasuna,es La Liga,24.0,2000,32,20,2019,22.4,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.5,0.09,0.06,49,71,88,11,4,36.4,0.49,0.18,0.18,0.50,23.8,0,0,0,0.5,0.5,0.04,+1.5,+1.5,749,1035,72.4,12498,4920,0,1.0,1.4,-1.0,15,55,16,12,71,817,214,13,3,2,83,201,0,0,0,0,749,59,35,28,24,7,59,62.7,22,28,4,24,18,77,61,2,36,1.61,27,2,5,0,1,1,4,0.18,1279,63,365,583,341,18,1279,35,18,51.4,13,37.1,586,3176,1721,49,43,7,27,18,655,88,3,0,0,24,32,3,83,18,35,0,1,0,105,19,17,52.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
